classID,salience,fold,accuracy,f1,fpr
0,1,1,0.3137254901960784,0.47761194029850745,0.0
0,1,2,0.6494845360824743,0.7875,0.0
0,1,3,0.6511627906976745,0.7887323943661972,0.0
0,1,4,0.7662337662337663,0.8676470588235294,0.0
0,1,5,0.22580645161290322,0.3684210526315789,0.0
0,1,6,0.9,0.9473684210526315,0.0
0,1,7,0.9565217391304348,0.9777777777777779,0.0
0,1,8,0.5675675675675675,0.7241379310344828,0.0
0,1,9,0.6818181818181818,0.8108108108108109,0.0
0,1,10,0.8360655737704918,0.9107142857142857,0.0
0,2,1,0.9795918367346939,0.9896907216494845,0.0
0,2,2,0.0,0.0,0.0
0,2,3,0.45614035087719296,0.6265060240963856,0.0
0,2,4,0.9130434782608695,0.9545454545454547,0.0
0,2,5,0.9736842105263158,0.9866666666666667,0.0
0,2,6,0.96,0.9795918367346939,0.0
0,2,7,0.5161290322580645,0.6808510638297872,0.0
0,2,8,0.5079365079365079,0.6736842105263158,0.0
0,2,9,0.48717948717948717,0.6551724137931034,0.0
0,2,10,0.717948717948718,0.8358208955223879,0.0
1,1,1,0.5925925925925926,0.7441860465116279,0.0
1,1,2,0.15384615384615385,0.26666666666666666,0.0
1,1,3,0.7105263157894737,0.8307692307692308,0.0
1,1,4,0.6666666666666666,0.8000000000000002,0.0
1,1,5,0.0,0.0,0.0
1,1,6,0.3333333333333333,0.5,0.0
1,1,7,0.7142857142857143,0.8333333333333334,0.0
1,1,8,0.38461538461538464,0.5555555555555556,0.0
1,1,9,0.375,0.5454545454545454,0.0
1,1,10,0.8636363636363636,0.926829268292683,0.0
1,2,1,0.0,0.0,0.0
1,2,2,0.7241379310344828,0.84,0.0
1,2,3,0.8,0.888888888888889,0.0
1,2,4,0.4339622641509434,0.6052631578947368,0.0
1,2,5,0.6989247311827957,0.8227848101265823,0.0
1,2,6,0.36363636363636365,0.5333333333333333,0.0
1,2,7,0.5238095238095238,0.6875,0.0
1,2,8,0.5882352941176471,0.7407407407407407,0.0
1,2,9,0.25,0.4,0.0
1,2,10,0.2727272727272727,0.4285714285714286,0.0
2,1,1,0.463768115942029,0.6336633663366337,0.0
2,1,2,0.42592592592592593,0.5974025974025973,0.0
2,1,3,0.639344262295082,0.78,0.0
2,1,4,0.6296296296296297,0.7727272727272727,0.0
2,1,5,0.3709677419354839,0.5411764705882353,0.0
2,1,6,0.6428571428571429,0.782608695652174,0.0
2,1,7,0.575,0.7301587301587301,0.0
2,1,8,0.6585365853658537,0.7941176470588235,0.0
2,1,9,0.6710526315789473,0.8031496062992126,0.0
2,1,10,0.5245901639344263,0.6881720430107527,0.0
2,2,1,0.1935483870967742,0.32432432432432434,0.0
2,2,2,0.1956521739130435,0.32727272727272727,0.0
2,2,3,0.20512820512820512,0.3404255319148936,0.0
2,2,4,0.1956521739130435,0.32727272727272727,0.0
2,2,5,0.34210526315789475,0.5098039215686274,0.0
2,2,6,0.03333333333333333,0.06451612903225806,0.0
2,2,7,0.25,0.4,0.0
2,2,8,0.2711864406779661,0.4266666666666667,0.0
2,2,9,0.375,0.5454545454545454,0.0
2,2,10,0.358974358974359,0.5283018867924528,0.0
3,1,1,0.7638888888888888,0.8661417322834646,0.0
3,1,2,0.8428571428571429,0.9147286821705425,0.0
3,1,3,0.8142857142857143,0.8976377952755905,0.0
3,1,4,0.8421052631578947,0.9142857142857143,0.0
3,1,5,0.7076923076923077,0.8288288288288288,0.0
3,1,6,0.6938775510204082,0.819277108433735,0.0
3,1,7,0.7662337662337663,0.8676470588235294,0.0
3,1,8,0.9642857142857143,0.9818181818181818,0.0
3,1,9,0.86,0.9247311827956989,0.0
3,1,10,0.7666666666666667,0.8679245283018868,0.0
3,2,1,0.75,0.8571428571428571,0.0
3,2,2,0.7,0.8235294117647058,0.0
3,2,3,0.7333333333333333,0.8461538461538461,0.0
3,2,4,0.5416666666666666,0.7027027027027027,0.0
3,2,5,0.5428571428571428,0.7037037037037037,0.0
3,2,6,0.7254901960784313,0.8409090909090909,0.0
3,2,7,0.5652173913043478,0.7222222222222222,0.0
3,2,8,0.6590909090909091,0.7945205479452055,0.0
3,2,9,0.7,0.8235294117647058,0.0
3,2,10,0.725,0.8405797101449275,0.0
4,1,1,0.3333333333333333,0.5,0.0
4,1,2,0.32967032967032966,0.49586776859504134,0.0
4,1,3,0.6111111111111112,0.7586206896551724,0.0
4,1,4,0.25396825396825395,0.4050632911392405,0.0
4,1,5,0.35353535353535354,0.5223880597014925,0.0
4,1,6,0.51,0.6754966887417219,0.0
4,1,7,0.43434343434343436,0.6056338028169014,0.0
4,1,8,0.7653061224489796,0.8670520231213874,0.0
4,1,9,0.5581395348837209,0.7164179104477612,0.0
4,1,10,0.5,0.6666666666666666,0.0
4,2,1,0.8,0.888888888888889,0.0
4,2,2,0.0,0.0,0.0
4,2,3,0.5,0.6666666666666666,0.0
4,2,4,0.16216216216216217,0.27906976744186046,0.0
4,2,5,0.0,0.0,0.0
4,2,7,0.0,0.0,0.0
